"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"NEK2",2.91550780383145,1.9013573620055,159.609177443003,2.72975737806827e-16,2.68420258983088e-12,4.4904508869223e-12
"GZMK",2.4549103189184,5.68694688428741,156.251072836281,3.26346819432326e-16,2.68420258983088e-12,5.36840517966176e-12
"FOXM1",2.40477140281586,2.28522805868652,143.793069905938,1.52673336850598e-15,6.5067413752112e-12,2.51147639119234e-11
"NCAPG",2.21059836806602,2.97124207779672,142.930377132089,1.58218635263494e-15,6.5067413752112e-12,2.60269655008448e-11
"NUSAP1",1.85701891420811,3.12613484531163,139.159386006735,2.46269004262935e-15,8.10225024025057e-12,4.05112512012529e-11
"TPX2",2.01067222892678,3.17511389969909,137.37229310877,3.07423355109531e-15,8.42852365258631e-12,5.05711419155179e-11
"SDC1",4.92890708940796,2.79335685573494,134.389950735345,3.67030733462673e-15,8.62522223637281e-12,6.03765556546097e-11
"CENPA",2.37059857355183,2.2711312674642,132.788872045242,5.8827270766297e-15,1.18899123055545e-11,9.67708604105585e-11
"PCLAF",2.90092060545445,2.54799211567911,132.125130578163,6.50511919452829e-15,1.18899123055545e-11,1.0700921074999e-10
"BIRC5",2.53334292458849,4.75013333722639,130.014896680681,7.67333299195129e-15,1.26226327717599e-11,1.26226327717599e-10
"TYMS",2.26035416232607,3.87225292069461,128.792673377152,9.03971732384472e-15,1.35184863615678e-11,1.48703349977246e-10
"CDK1",2.12853840176754,3.33006815918244,127.907468095935,1.02247775891511e-14,1.4016465945128e-11,1.68197591341536e-10
"APOL6",2.41472336645664,6.41943154729579,124.129627846533,1.65838030884598e-14,2.09848892927048e-11,2.72803560805163e-10
"ARHGAP11A",2.31248999920825,1.89546638192657,123.136716139438,2.14032736027666e-14,2.42988060061495e-11,3.52083850765511e-10
"BUB1",2.5140629525536,2.6733062409148,122.4206172158,2.21569659630542e-14,2.42988060061495e-11,3.64482090092242e-10
"MYO7B",3.77168516585643,0.505414216044954,102.205265303671,3.10299706247765e-14,2.84810748395144e-11,5.10443016777573e-10
"DLGAP5",2.29864538882806,2.45473427367231,119.887806630177,3.13756653664187e-14,2.84810748395144e-11,5.16129695277588e-10
"KIF11",2.36052912777152,2.50467532514936,118.849502919278,3.61672460620587e-14,2.84810748395144e-11,5.94951197720866e-10
"MZB1",3.34538070581029,7.42179561703139,118.067215779944,3.78614592760529e-14,2.84810748395144e-11,6.22821005091071e-10
"RRM2",2.53927972022649,6.19064891243655,118.058668664272,3.79180911571138e-14,2.84810748395144e-11,6.23752599534523e-10
"CDCA2",2.14751674023767,1.65485173155643,118.621895949433,3.99441180590995e-14,2.84810748395144e-11,6.57080742072187e-10
"CCNA2",2.16897218373268,3.14849718910839,117.799797894453,4.0101967767356e-14,2.84810748395144e-11,6.59677369773007e-10
"KIF2C",2.30178082807181,2.6132790800158,117.928237233634,4.0598586032665e-14,2.84810748395144e-11,6.6784674023734e-10
"KIF15",1.9397377918303,1.99435367173018,117.972281406861,4.15529359360696e-14,2.84810748395144e-11,6.83545796148345e-10
"TOP2A",2.33755358428902,3.13177380954546,116.804900368742,4.62836952733118e-14,3.04546714898392e-11,7.61366787245979e-10
"CCNB2",2.3503690967382,3.64118064424309,116.39530008574,4.83755561960638e-14,3.06068422855865e-11,7.9577789942525e-10
"DHRS3",-1.3133358568138,5.67405968873693,113.987858566088,6.71673936457925e-14,4.09223564990106e-11,1.10490362547329e-09
"KLHL30",6.06328906083654,1.63478182035372,83.7043572748206,7.88124792514252e-14,4.63023315602123e-11,1.29646528368595e-09
"IFI27",4.96895149891259,9.18104058330837,112.186310408365,8.69193310481061e-14,4.85637147170038e-11,1.42982299574135e-09
"CRELD2",2.46152914077107,6.32778264925289,112.057997716397,8.85660450766026e-14,4.85637147170038e-11,1.45691144151011e-09
"MCM4",2.13630725058697,4.75655397408719,110.970979579364,1.03774552822267e-13,5.50674643202032e-11,1.7070913939263e-09
"KIFC1",2.01201730082184,4.09291771496348,109.399235794768,1.30816842776578e-13,6.72480332398345e-11,2.15193706367471e-09
"ADAMTS14",2.03657918535642,1.06819272625625,110.094196419756,1.36718142390809e-13,6.81519224948124e-11,2.24901344232881e-09
"PDIA4",2.63560837182214,7.11682591063928,108.6880927805,1.44668851276346e-13,6.99941942204672e-11,2.37980260349589e-09
