"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"TPX2",2.86418891531599,3.86281465871676,248.937140609292,7.9849908965887e-20,4.55541097631036e-16,1.31353100248884e-15
"FOXM1",3.1607403145403,2.91341280992528,250.217855206915,8.21506195167066e-20,4.55541097631036e-16,1.35137769104982e-15
"TYMS",3.34897188530441,4.79124485617052,248.190974046144,8.30774038232893e-20,4.55541097631036e-16,1.36662329289311e-15
"NCAPG",3.01937558453142,3.63568905238551,230.488273908886,3.4698249550472e-19,1.42696551276316e-15,5.70786205105264e-15
"IFI27",5.68576133998395,9.87608794097902,213.469717801102,1.37238604530291e-18,4.51515008904656e-15,2.25757504452328e-14
"TOP2A",2.98682413261922,3.66811021319425,209.195803325993,2.08412011996438e-18,5.71396266223567e-15,3.4283775973414e-14
"RAD51AP1",3.27847436809402,1.5559432840601,201.843463181401,3.98446083306393e-18,7.97402826321022e-15,6.55443807039016e-14
"CENPA",2.9914123680042,2.78135612311228,202.146569156414,4.28001738361252e-18,7.97402826321022e-15,7.0406285960426e-14
"PCLAF",3.48812389429407,3.05737822136915,202.182422815639,4.362690235191e-18,7.97402826321022e-15,7.17662543688919e-14
"KIFC1",2.65665671622998,4.60808951102223,197.161914073874,5.94542473074118e-18,8.71521578498418e-15,9.78022368206923e-14
"APOL2",2.49597981079649,8.85728349587856,195.811174377551,6.69157167376253e-18,8.71521578498418e-15,1.10076354033394e-13
"CCNB2",3.29177698418709,4.43573924885324,195.952144244597,6.7421975055999e-18,8.71521578498418e-15,1.10909148967118e-13
"MCM4",2.99664519035553,5.46559334624247,195.330835217153,7.01799443543302e-18,8.71521578498418e-15,1.15446008462873e-13
"CDK1",2.70501085077165,3.79308079588652,194.978328951969,7.41720492339079e-18,8.71521578498418e-15,1.22013020989778e-13
"MCM10",3.00698857204259,2.92298000230962,193.854754094304,8.99720270206377e-18,9.60794548392636e-15,1.48003984448949e-13
"CCNA2",2.92370753764086,3.76446173360879,192.60698082698,9.3451141484998e-18,9.60794548392636e-15,1.53727127742822e-13
"CDC6",2.68721327102188,2.4282647039635,191.413597527378,1.16742042754095e-17,1.12965094312051e-14,1.92040660330486e-13
"E2F8",3.14179129449212,1.99334535577337,191.320301024028,1.26925745989404e-17,1.1599602897365e-14,2.0879285215257e-13
"CLSPN",3.6190218949663,1.51168137399177,181.782213650302,1.84733625936846e-17,1.59940428771638e-14,3.03886814666112e-13
"RRM2",2.99360798737635,6.57488141016152,183.347471224725,2.20219161187098e-17,1.60969409930807e-14,3.62260520152776e-13
"MKI67",3.33898000171182,5.43191739211568,182.873101210517,2.31513469876614e-17,1.60969409930807e-14,3.80839657947029e-13
"BCL2L14",4.30420099819001,1.15107231802717,155.967830940153,2.36344132426776e-17,1.60969409930807e-14,3.88786097842047e-13
"KCTD14",3.76222658661734,4.89788930813738,182.749849173268,2.37742879558099e-17,1.60969409930807e-14,3.91087036873072e-13
"ZBP1",2.20975445160156,6.19732793475214,182.385622535244,2.42003348831094e-17,1.60969409930807e-14,3.9809550882715e-13
"BIRC5",3.21763218970953,5.33374158456406,181.745503263352,2.58727618172505e-17,1.60969409930807e-14,4.25606931893771e-13
"PLK1",2.72807379907095,4.43667764544365,181.589793644869,2.64084170218264e-17,1.60969409930807e-14,4.34418460009045e-13
"CDCA7",3.15646979735534,3.39055089124922,182.212429196227,2.64205110524729e-17,1.60969409930807e-14,4.34617406813179e-13
