"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"TYMS",291.964065665807,3.29728339720694,0.195462672227521,16.8691206337795,7.59181424238926e-64,1.04767036544972e-59,1.23997102020944e-59
"CCNB2",236.63611116974,3.24329814370252,0.216707166568348,14.9662708209496,1.21971516805164e-50,8.41603465955631e-47,1.99216078397874e-46
"TPX2",173.851967868775,2.81005452681651,0.190415479159012,14.7574899857269,2.75338744693604e-49,1.26655822559058e-45,4.49710771708063e-45
"MCM5",783.169357956271,2.3709874934255,0.162825716978199,14.5615050093282,4.93590403238682e-48,1.70288689117345e-44,8.06181205609739e-44
"STMN1",3018.95655330741,2.49765656567813,0.173608388109952,14.3867274667413,6.26929506180259e-47,1.73032543705752e-43,1.02396396244422e-42
"CCR5",333.930750852538,2.39782761192651,0.167840469359949,14.2863495381687,2.66202179191152e-46,6.12265012139649e-43,4.34788019272908e-42
"BIRC5",468.362114747571,3.17141396211654,0.222831509123059,14.2323407250503,5.77170455364389e-46,1.13785032628979e-42,9.42692504746656e-42
"DLGAP5",106.747042402224,3.24442952367584,0.228506413159805,14.1984177984837,9.37042095427589e-46,1.61639761461259e-42,1.53047085446188e-41
"CDCA7",115.344581995872,3.11297518628674,0.220671202503679,14.1068483380147,3.4463958712196e-45,5.28447366920338e-42,5.62899837646297e-41
"KIFC1",310.529732588512,2.59643971913385,0.18447692780109,14.074604071537,5.44087548812469e-45,7.50840817361207e-42,8.88658193475405e-41
"CDCA8",180.47376367405,2.45061612419296,0.174867973146998,14.0140934905954,1.27819958874058e-44,1.60355948405636e-41,2.08768338828999e-40
"MCM4",543.060890720234,2.9461494379242,0.211333957039106,13.9407290678754,3.5826172738019e-44,4.12000986487219e-41,5.85148879330064e-40
"CCNA2",159.094228108564,2.86679871581723,0.207428973633804,13.8206281677809,1.91392360811206e-43,2.03170352245742e-40,3.12601142912943e-39
"MKI67",452.096707527461,3.2848332253649,0.238328491815382,13.782797014087,3.23491640837313e-43,3.18870331682494e-40,5.28358896979583e-39
"RRM2",1201.22755164699,2.94078554463483,0.215371824297501,13.6544580714171,1.89896770465717e-42,1.7470502882846e-39,3.10158395201656e-38
"NCAPG",153.396185696548,2.95783491781066,0.216804349623585,13.6428762750657,2.2260444026476e-42,1.91996329728355e-39,3.63579832284432e-38
"IL12RB2",283.872445639506,3.55763623658548,0.261567539756766,13.6012145845534,3.93838182843077e-42,3.1970393666085e-39,6.43255904037597e-38
"ZWINT",214.659147528587,2.4458170021216,0.181084249690029,13.5065142678517,1.43140003135727e-41,1.09740669070724e-38,2.33790567121583e-37
"UHRF1",96.8093380574841,3.4750781015056,0.258704763249806,13.4326019275882,3.89482230257919e-41,2.82887093555752e-38,6.3614132668026e-37
