"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"LTF",2250.29171663637,4.55144115385616,0.439461851387043,10.3568515435202,3.89574871409449e-25,5.00642667248283e-21,6.36292637473053e-21
"ZBTB32",799.303846485365,1.808688248132,0.208479987482388,8.67559649237216,4.11388406747948e-18,2.64337620755894e-14,6.71920684741423e-14
"SDC1",54.8335925901371,3.38522762507436,0.399014975600336,8.48396133498782,2.17654111369031e-17,8.11943685312315e-14,3.55494460099038e-13
"CRISP3",208.512212122692,4.494945784197,0.53090518365187,8.46656978046095,2.52725448700433e-17,8.11943685312315e-14,4.12776475362416e-13
"MCM5",783.169357956271,1.35244498484,0.163039355873507,8.29520564279756,1.08397521251593e-16,2.78603309120844e-13,1.77045671460227e-12
"MCM2",557.898029389702,1.31947094664923,0.159630976905555,8.26575751290363,1.3881045432888e-16,2.9730885809674e-13,2.2671911505536e-12
"UHRF1",96.8093380574841,2.13675065406056,0.259892817930047,8.22166103349455,2.00703779840825e-16,3.68463467819206e-13,3.2780948361402e-12
"MZB1",1704.20554497287,1.97002377009738,0.240371413427463,8.19574899530171,2.4903753071449e-16,3.88703126692338e-13,4.06752998915976e-12
"MCM4",543.060890720234,1.73184911594949,0.211587232468676,8.18503600497669,2.72222250426507e-16,3.88703126692338e-13,4.44620601621614e-12
"NEK2",54.7764181711838,1.96230044891907,0.242732242804336,8.08421833971542,6.2564159010288e-16,7.23749680113416e-13,1.02186040911503e-11
"MYBL2",784.657846991221,1.67281117912875,0.207319455598679,8.06876119898227,7.10150075706389e-16,7.23749680113416e-13,1.15988811865124e-11
"TYMS",291.964065665807,1.58280674393116,0.196176430036302,8.06828192172867,7.12942721722697e-16,7.23749680113416e-13,1.16444934738968e-11
"RRM2",1201.22755164699,1.7378954895889,0.215485141882714,8.06503629161966,7.32141143994584e-16,7.23749680113416e-13,1.19580613048635e-11
"NUSAP1",160.314941325272,1.43417072312173,0.178403077447261,8.03893488634294,9.06227168889573e-16,8.31851810528565e-13,1.48014083494734e-11
"NCAPG",153.396185696548,1.74426303671616,0.217683879695205,8.01282593437063,1.12102248957149e-15,9.15401659570502e-13,1.83096603221712e-11
"PLPP3",147.142247729512,2.07030286663039,0.258601300525526,8.00577128739551,1.18720196753036e-15,9.15401659570502e-13,1.93905697356734e-11
"TNFRSF6B",37.0069118460868,2.13714450072306,0.267031756895982,8.00333460546246,1.21094297818835e-15,9.15401659570502e-13,1.97783316627504e-11
"KCNIP2",49.5503798346628,1.5923346385175,0.200904708842026,7.92582039363535,2.26644978481674e-15,1.57353886524283e-12,3.70179243354118e-11
"TPX2",173.851967868775,1.51580348878093,0.191362974593714,7.92109075435913,2.3543601260506e-15,1.57353886524283e-12,3.84537639387845e-11
"PCLAF",97.3112532749269,2.10524543032442,0.265941587772001,7.91619486053947,2.44889715235052e-15,1.57353886524283e-12,3.99978371893411e-11
"BHLHE41",95.7551683149996,2.08082399799064,0.265114885786002,7.84876334582832,4.20159593975236e-15,2.55940440339997e-12,6.86246664839754e-11
"MEGF11",82.3052292007396,2.1318402582686,0.271796990310899,7.843502077893,4.38151870475445e-15,2.55940440339997e-12,7.15633450047544e-11
"CCNB2",236.63611116974,1.70307581473006,0.217405295105419,7.83364459409439,4.73927239013114e-15,2.59572471354666e-12,7.74065359480119e-11
"DLGAP5",106.747042402224,1.79987672321323,0.229845765587203,7.83080218430371,4.84766890709827e-15,2.59572471354666e-12,7.91769762596361e-11
"TNFRSF13B",231.791241148931,2.09582224812712,0.268200490252564,7.81438634267034,5.52314456733219e-15,2.83911723339144e-12,9.02095202182367e-11
"DHRS3",868.532562945668,-0.984596183210549,0.127807020123378,-7.70377231438519,1.32107145750327e-14,6.5296497309133e-12,2.1577060115401e-10
"CDCA7",115.344581995872,1.70610147281566,0.221919033882508,7.68794565732897,1.49516286154522e-14,7.11642145693246e-12,2.44204950176181e-10
"BANK1",1201.60947103185,1.33008622377033,0.173131155228203,7.68253537046613,1.55970459219601e-14,7.15848704082533e-12,2.54746551043374e-10
"BIRC5",468.362114747571,1.71148513643731,0.223167188368267,7.66907155550592,1.73245773913943e-14,7.67717738126926e-12,2.82962322533644e-10
"IL12RB2",283.872445639506,2.00543617918803,0.262034314847306,7.65333418394705,1.95834110126833e-14,8.38888049746645e-12,3.19855852070157e-10
"CDK1",178.464023439069,1.55653453884407,0.204025758370526,7.62910796791297,2.36383608679562e-14,9.79924437142276e-12,3.86085348056329e-10
