"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"MZB1",1.99478205004038,6.2941482515501,138.460688556753,2.80984425681273e-15,4.62219380245694e-11,4.62219380245694e-11
"MMP23B",2.69378427689264,-0.340465241754588,107.178084674513,1.56843182032356e-14,1.14588995866396e-10,2.58007034443226e-10
"LTF",4.57447145111036,7.57050682655718,121.799433148244,2.40264632480824e-14,1.14588995866396e-10,3.95235320430956e-10
"SDC1",3.34805525506556,1.34426089525911,119.599857363887,2.78635856210082e-14,1.14588995866396e-10,4.58355983465585e-10
"ZBTB32",1.84146179437816,5.51330411291432,114.261724486628,6.81640880540275e-14,2.2425984969775e-10,1.12129924848875e-09
"CRISP3",4.49830236176628,4.3528973221753,111.4393957822,1.08388418431275e-13,2.97164913865747e-10,1.78298948319448e-09
"MEGF11",2.17308534465344,2.26889851218911,108.602599637175,1.64559583308445e-13,3.52727728029473e-10,2.70700514542392e-09
"NEK2",1.98432119498763,1.16347365384383,108.911900685566,1.71539320622236e-13,3.52727728029473e-10,2.82182182423578e-09
"NCAPG",1.77645701538257,2.64046617077953,97.8554397634146,8.12515334231429e-13,1.38775061185095e-09,1.3365877248107e-08
"MYF6",2.60647727063928,-0.726250661968718,80.7883226037837,8.43617393222459e-13,1.38775061185095e-09,1.38775061185095e-08
"BHLHE41",2.13505574512256,2.46624613483008,96.5062061635288,1.02690775834423e-12,1.53569387497842e-09,1.68926326247627e-08
"ASRGL1",1.35925940444175,4.81009353038265,91.8687691970721,2.08898489338318e-12,2.81434437057802e-09,3.43638014961533e-08
"TBKBP1",1.50993164837094,2.99844002582543,91.2476151863204,2.33769691984612e-12,2.81434437057802e-09,3.84551143314686e-08
"PLPP3",2.10047914586391,2.94986321440495,91.1601654086596,2.39518669836427e-12,2.81434437057802e-09,3.94008211880923e-08
"KCNIP2",1.6143995350543,1.35964669368148,90.3141189048402,2.98752540860204e-12,3.27631953143357e-09,4.91447929715036e-08
"AICDA",3.28215826056988,0.156386809802009,77.8507001166,4.19995142310922e-12,4.31807505688416e-09,6.90892009101466e-08
"TNFRSF6B",2.1765018896256,1.19080641916099,85.4462755820098,6.96999463323539e-12,6.74449480686601e-09,1.14656411716722e-07
"NUSAP1",1.45054288400802,2.83517181159871,83.186523530162,9.30112217915169e-12,8.50019221372474e-09,1.53003459847045e-07
"KLHL30",5.26923238630352,0.917454913877083,63.6018282154432,1.366929254462e-11,1.18347295978421e-08,2.24859862359e-07
"CD19",1.52943763651331,6.67035736117547,79.2641725812136,1.85920424683494e-11,1.52919549302174e-08,3.05839098604348e-07
"GPC1",2.62455465444306,1.33662531497552,79.2564252301654,2.04563024148377e-11,1.60241035582895e-08,3.36506174724079e-07
"TOP2A",1.71610746166128,2.65761106609053,78.5550740730023,2.15438310137666e-11,1.61089100080209e-08,3.54396020176461e-07
"DLGAP5",1.81646021478519,2.0860167745362,77.2986870109187,2.78429888533487e-11,1.91783927412783e-08,4.58017166637587e-07
"MCM5",1.37714289814281,5.04957729548757,77.0445809873338,2.79806337866675e-11,1.91783927412783e-08,4.6028142579068e-07
"DHRS3",-0.956314355194233,5.77106716356252,76.4604271584876,3.11841683657688e-11,2.05191827846758e-08,5.12979569616896e-07
"MS4A1",1.69721954228287,8.23247323986567,75.2839248437382,3.88800651372366e-11,2.45991181349055e-08,6.39577071507542e-07
"RRM2",1.76585752982074,5.58535090199482,75.038696348031,4.0733468947279e-11,2.46109202892003e-08,6.7006556418274e-07
"TPX2",1.53991803064333,2.83008874477026,74.9470038107128,4.18909281518303e-11,2.46109202892003e-08,6.89105768097609e-07
"MYBL2",1.69844383022274,5.05987878057676,74.45021019086,4.55429016774543e-11,2.57359133282916e-08,7.49180732594123e-07
"MCM4",1.75256989476295,4.46526898648365,74.2950681803898,4.69347963433889e-11,2.57359133282916e-08,7.72077399848748e-07
