"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"OAS1",4484.51842535718,5.64201101612128,0.311545509380312,18.1097491257174,2.66962254922031e-73,3.59971904536867e-69,4.36029450964153e-69
"USP18",814.559676595279,6.15550399113872,0.350501028049358,17.5620140842266,4.8136518749969e-69,3.24536409412291e-65,7.86213760743244e-65
"SERPING1",354.657874489329,5.68393487720338,0.33966433949781,16.7339759175397,7.41209851264474e-63,3.33149121148339e-59,1.21061805007026e-58
"RAB5C",1794.0596962706,4.34607057493164,0.263399894843797,16.4998948747074,3.67531875514048e-61,1.23894995235786e-57,6.00289812277095e-57
"ZBP1",1340.89559772983,2.94883999912056,0.18350057412213,16.0699224687871,4.14604583486872e-58,1.1181056407474e-54,6.77173666209108e-54
"SPATS2L",597.488919312846,3.88200718964665,0.243992732599471,15.9103394117037,5.37214649864097e-57,1.20730038979458e-53,8.77432687623029e-53
"KCTD14",619.84358600624,5.04621478131091,0.318093849237253,15.8639181279709,1.12641790923586e-56,2.16980272687662e-53,1.83977837115493e-52
"GCH1",189.929833734658,4.33237022523727,0.285902210564805,15.1533288836018,7.20241645395983e-52,1.21396729331493e-48,1.17637067942526e-47
"LIG1",896.052264907444,2.72057765616341,0.183005530794749,14.8660952723592,5.47127154251572e-50,8.1971806088091e-47,8.93622781039092e-46
"ISG15",10289.3665366402,7.1706753549695,0.489720030230681,14.6423975176016,1.50660430094198e-48,2.03150523939017e-45,2.46073680472854e-44
"PLA2G4C",737.884916930469,5.0305624054687,0.353961578939851,14.2121707687476,7.70010711056204e-46,9.43893129807441e-43,1.2576584943681e-41
"APOL6",3360.14718691258,4.65597429517561,0.330016272698772,14.1083173175082,3.37536057002696e-45,3.7927801605203e-42,5.51297641902504e-41
"APOL2",9139.04202770536,3.28251008743177,0.236125030173133,13.901576148132,6.19617125391503e-44,6.42685947598387e-41,1.01202065090194e-39
"IL15RA",1168.73070866611,2.76503703706085,0.202129855569634,13.679508300585,1.34599778123824e-42,1.29638814872974e-39,2.19841817609641e-38
"MOCOS",321.807038281728,3.15398562206918,0.232160155132052,13.5853872955728,4.88938783223642e-42,4.39523370199172e-39,7.98583714639174e-38
"RSAD2",6149.29868474291,6.20944084231827,0.46794298419026,13.2696526117669,3.47186467613741e-40,2.9259139558148e-37,5.67059657553523e-36
"BCL2L14",56.0311365797129,6.22056517832091,0.472860556563897,13.1551788195731,1.58907117996448e-39,1.26041387003771e-36,2.59542995823599e-35
"IFI27",13950.5791083827,5.81784714007401,0.443371143870629,13.1218443520799,2.46853176992725e-39,1.84920457698328e-36,4.03185293982217e-35
"IL1RN",9484.41519037091,5.16066359673202,0.396964914919639,13.0003015449784,1.21861831022188e-38,8.64834173422731e-36,1.9903692860854e-34
"MYO7B",228.457644107094,8.78716657480341,0.676456522226393,12.989994605836,1.39436887779515e-38,9.40083497409491e-36,2.27742268810282e-34
"PML",2707.58534192703,2.97892698294301,0.231702534641486,12.8566870774733,7.88857788590395e-38,5.06521829588233e-35,1.28844142610469e-33
"CD200R1L",312.125829248205,3.89419919591353,0.303170498360282,12.8449147162259,9.18530986243352e-38,5.62975991750243e-35,1.50023665983127e-33
"MOV10",1937.01001498732,2.49340369529498,0.194236986664694,12.8369150392519,1.01852874414775e-37,5.97123547221231e-35,1.66356299781653e-33
"LAP3",3364.9034928379,2.20222018568911,0.172024180898987,12.8018059680938,1.60182149090791e-37,8.99956707641759e-35,2.61625504109988e-33
"SDC3",530.611389085486,4.23825029600017,0.332495791601632,12.7467787654831,3.24894847744579e-37,1.75235285079516e-34,5.30650754821221e-33
"DHX58",2938.9626737703,3.69317786625687,0.290305281569609,12.7217040154722,4.47982879550234e-37,2.32330813379052e-34,7.31690437169398e-33
"MR1",817.781961113799,3.78444346616695,0.29774575561384,12.7103187696659,5.18227602242583e-37,2.58806703282926e-34,8.46421142742812e-33
"ISG20",8205.36704839012,2.3974796480238,0.188845311090387,12.6954682336608,6.26541063589867e-37,3.01724275051634e-34,1.02332951916133e-32
